age,fsr
138,0.635315488
137.5,0.635037145
137,0.634725768
136.5,0.63437062
136,0.633961666
135.5,0.633489828
135,0.632947228
134.5,0.63232738
134,0.631625332
133.5,0.630837751
133,0.629962939
132.5,0.629000814
132,0.627952843
131.5,0.62682196
131,0.625612471
130.5,0.624329941
130,0.62298108
129.5,0.621573611
129,0.620116137
128.5,0.618617999
128,0.617089128
127.5,0.615539896
127,0.613980937
126.5,0.612422965
126,0.61087658
125.5,0.609352074
125,0.607859265
124.5,0.606407351
124,0.60500481
123.5,0.603659317
123,0.602377689
122.5,0.601165851
122,0.600028824
121.5,0.598970717
121,0.597994738
120.5,0.597103202
120,0.596297536
119.5,0.595578266
119,0.594944995
118.5,0.594396375
118,0.593930076
117.5,0.593542777
117,0.593230167
116.5,0.592986961
116,0.592806946
115.5,0.592683035
115,0.592607366
114.5,0.592571436
114,0.59256628
113.5,0.592582676
113,0.592611387
112.5,0.592643414
112,0.592670269
111.5,0.592684232
111,0.592678584
110.5,0.592647802
110,0.592587702
109.5,0.592495512
109,0.592369902
108.5,0.592210951
108,0.59202006
107.5,0.591799832
107,0.59155393
106.5,0.59128695
106,0.5910043
105.5,0.5907121
105,0.590417104
104.5,0.590126631
104,0.589848479
103.5,0.589590848
103,0.589362242
102.5,0.589171367
102,0.589027007
101.5,0.588937888
101,0.588912537
100.5,0.58895914
100,0.589085405
99.5,0.589298456
99,0.589604744
98.5,0.590009984
98,0.590519121
97.5,0.591136316
97,0.591864954
96.5,0.592707667
96,0.593666363
95.5,0.594742265
95,0.595935957
94.5,0.597247409
94,0.598676002
93.5,0.600220539
93,0.601879234
92.5,0.603649691
92,0.605528852
91.5,0.607512927
91,0.609597293
90.5,0.611776383
90,0.614043589
89.5,0.616391179
89,0.618810239
88.5,0.621290651
88,0.623821114
87.5,0.626389211
87,0.628981547
86.5,0.631583953
86,0.634181745
85.5,0.636760009
85,0.639303899
84.5,0.641798942
84,0.64423132
83.5,0.646588152
83,0.648857734
82.5,0.651029764
82,0.653095512
81.5,0.65504795
81,0.656881844
80.5,0.65859381
80,0.660182321
79.5,0.661647668
79,0.662991874
78.5,0.664218557
78,0.665332767
77.5,0.666340798
77,0.667249982
76.5,0.66806849
76,0.668805132
75.5,0.669469185
75,0.670070242
74.5,0.67061809
74,0.671122615
73.5,0.671593697
73,0.672041115
72.5,0.672474462
72,0.672903062
71.5,0.673335894
71,0.673781517
70.5,0.674248008
70,0.674742901
69.5,0.675273148
69,0.675845109
68.5,0.676464555
68,0.677136684
67.5,0.677866134
67,0.678657008
66.5,0.679512903
66,0.680436951
65.5,0.681431878
65,0.682500059
64.5,0.683643596
64,0.68486439
63.5,0.686164223
63,0.687544839
62.5,0.689008008
62,0.69055558
61.5,0.692189507
61,0.693911854
60.5,0.695724777
60,0.697630467
59.5,0.699631067
59,0.70172857
58.5,0.703924728
58,0.706220987
57.5,0.70861843
57,0.711117746
56.5,0.713719178
56,0.716422488
55.5,0.719226911
55,0.722131132
54.5,0.725133284
54,0.728230949
53.5,0.731421151
53,0.734700352
52.5,0.738064431
52,0.741508694
51.5,0.745027935
51,0.748616537
50.5,0.752268603
50,0.755978057
49.5,0.75973872
49,0.763544353
48.5,0.767388674
48,0.771265373
47.5,0.775168088
47,0.779090339
46.5,0.783025401
46,0.786966165
45.5,0.790904978
45,0.794833504
44.5,0.798742604
44,0.802622224
43.5,0.806461328
43,0.810247853
42.5,0.813968702
42,0.817609792
41.5,0.821156157
41,0.82459215
40.5,0.827901756
40,0.831068985
39.5,0.834078326
39,0.836915219
